Universitas,Prodi,Rank,text
universitas muhammadiyah mataram,kebidanan,999.0,kebidanan
universitas airlangga,keperawatan,4.0,keperawatan
sekolah tinggi ilmu kesehatan tri mandiri sakti bengkulu,kebidanan,999.0,kebidanan
sekolah tinggi ilmu kesehatan siti khadijah,ilmu keperawatan,999.0,ilmu keperawatan
sekolah tinggi ilmu kesehatan pertamedika,teknik radiodiagnostik dan radioterapi,999.0,teknik radiodiagnostik dan radioterapi
sekolah tinggi ilmu kesehatan nasional,farmasi,999.0,farmasi
sekolah tinggi ilmu kesehatan mutiara mahakam samarinda,keselamatan dan kesehatan kerja,999.0,keselamatan dan kesehatan kerja
sekolah tinggi ilmu kesehatan bhakti mulia,keselamatan dan kesehatan kerja,999.0,keselamatan dan kesehatan kerja
sekolah tinggi ilmu farmasi yayasan pharmasi,farmasi,999.0,farmasi
sekolah tinggi ilmu farmasi yayasan pharmasi,analis farmasi dan makanan,999.0,analis farmasi dan makanan
politeknik tiara bunda,keperawatan anestesiologi,999.0,keperawatan anestesiologi
politeknik kesehatan kementerian kesehatan palembang,keperawatan,999.0,keperawatan
politeknik kesehatan kementerian kesehatan manado,gizi,999.0,gizi
politeknik kesehatan kementerian kesehatan malang,keperawatan,999.0,keperawatan
sekolah tinggi ilmu kesehatan marendeng majene,kebidanan,999.0,kebidanan
sekolah tinggi ilmu kesehatan borneo cendekia medika,keperawatan,999.0,keperawatan
politeknik kesehatan kementerian kesehatan medan,sanitasi,999.0,sanitasi
institut kesehatan immanuel,ilmu keperawatan,999.0,ilmu keperawatan
universitas palangka raya,teknologi laboratorium medis,999.0,teknologi laboratorium medis
universitas mandala waluya,kesehatan masyarakat,999.0,kesehatan masyarakat
universitas mahasaraswati denpasar,farmasi,999.0,farmasi
universitas indonesia maju,farmasi,999.0,farmasi
universitas alirsyad cilacap,farmasi,999.0,farmasi
sekolah tinggi ilmu kesehatan pekanbaru medical center,kebidanan,999.0,kebidanan
sekolah tinggi ilmu kesehatan mitra keluarga,keperawatan,999.0,keperawatan
politeknik kesehatan kementerian kesehatan palangkaraya,kebidanan,999.0,kebidanan
