Universitas,Prodi,Jenjang,Status
Universitas Hasanuddin,Administrasi Publik,S3,PTN
Universitas Nurdin Hamzah,Ilmu Komunikasi,S1,10
Universitas Tama Jagakarsa,Psikologi,S1,03
Universitas Ibnu Chaldun,Akhwal Syaksiyah,S1,03
Universitas Mataram,Pariwisata K. Kab. Lombok Utara,D-III,PTN
Universitas Bengkulu,Agribisnis,S1,PTN
Universitas Budi Luhur,Kriminologi,S1,03
Universitas Wijaya Kusuma Surabaya,Kesejahteraan Sosial,S1,07
"STAI Ma`arif Sintang, Kalimantan Barat",Hukum Keluarga (Ahwal Syakhshiyah),S1,PTAS
Sekolah Tinggi Intelijen Negara,Agen Intelijen,S1,PTKL
Universitas Islam Sultan Agung,Ilmu Hukum,S3,06
Universitas Riau,Ilmu Komunikasi,S2,PTN
Universitas Muhammadiyah Malang,Kesejahteraan Sosial,S1,07
Universitas Riau,Usaha Perjalanan Wisata,D-IV,PTN
Sekolah Tinggi Teologi Reformed Indonesia,Teologi (Akademik),S1,PTAS
Akademi Maritim Cirebon,Nautika,D-III,04
Universitas Achmad Yani Banjarmasin,Budidaya Perairan,S1,11
Universitas Hindu Indonesia,Kesehatan Ayurweda,S1,08
Universitas Indonesia,Sastra Perancis,S1,PTN
Politeknik Negeri Sriwijaya,Perancangan Jalan Dan Jembatan,D-IV,PTN
Politeknik Negeri Banjarmasin,Alat Berat,D-III,PTN
Universitas Batam,Ilmu Hukum,S1,17
Universitas PGRI Semarang,Arsitektur,S1,06
Sekolah Tinggi Teologi Excelsius,Teologi,S1,PTAS
Institut Agama Islam Negeri Padangsidimpuan,Ekonomi Syariah,S2,PTAN
Institut Agama Islam Al-Falah As-Sunniyah Kencong Jember Jawa Timur,Ekonomi Syariah,S1,PTAS
Universitas Nasional Karangturi Semarang,Pendidikan Bahasa Inggris,S1,06
STIT Muhammadiyah Tempurejo Ngawi,Pendidikan Islam Anak Usia Dini,S1,PTAS
Universitas Islam Zainul Hasan Genggong Probolinggo,Tadris Bahasa Inggris,S1,PTAS
Politeknik Stibisnis,Bisnis Dan Manajemen Ritel,D-IV,06
Sekolah Tinggi Ilmu Tarbiyah Al Washliyah Aceh Tengah,Manajemen Pendidikan Islam,S1,PTAS
Sekolah Tinggi Ilmu Tarbiyah Al Washliyah Aceh Tengah,Pendidikan Guru Raudhatul Athfal,S1,PTAS
Institut Agama Islam Kotamobagu,Manajemen Pendidikan Islam,S1,PTAS
Sekolah Tinggi Agama Islam Aceh Tamiang,Manajemen Zakat Dan Wakaf,S1,PTAS
Institut Agama Islam Sukabumi,Pendidikan Islam Anak Usia Dini,S1,PTAS
Universitas Pohuwato,Perencanaan Wilayah,S1,16
"Sekolah Tinggi Agama Islam (STAI) Khozinatul Ulum, Blora, Jawa Tengah",Ekonomi Syariah,S1,PTAS
Universitas Katolik Widya Mandala Surabaya,Filsafat,S1,07
Institut Pesantren Sunan Drajat Lamongan,Pendidikan Bahasa Arab,S1,PTAS
Institut Agama Islam Cirebon,Ilmu Al-Qur`an Dan Tafsir,S1,PTAS
STAI Nurul Falah Airmolek,Pendidikan Bahasa Arab,S1,PTAS
Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Studi Islam Interdisipliner,S2,PTAN
Akademi Komunitas Darussalam Blokagung,Produksi Tekstil,D-II,07
Universitas Trinita,Pendidikan Guru Sekolah Dasar,S1,16
"Institut Agama Islam Darullughah Wadda'wah Bangil, Pasuruan",Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAS
Universitas Halu Oleo,Teknologi Hasil Perikanan,S1,PTN
Universitas Pembangunan Nasional Veteran Jawa Timur,Agroteknologi,S2,PTN
Universitas Muhammadiyah Palembang,Manajemen,S2,02
Universitas Halu Oleo,Manajemen Sumber Daya Perairan,S1,PTN
Universitas Muhammadiyah Palembang,Akuakultur,S1,02
Universitas Muhammadiyah Sumatera Utara,Ilmu Hukum,S2,01
Institut Pertanian Bogor,Teknologi Perikanan Laut,S2,PTN
Universitas Pembangunan Jaya,Arsitektur,S1,04
Universitas Halu Oleo,Ilmu Kelautan,S1,PTN
Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Manajemen Dakwah,S1,PTAN
Akademi Maritim Maluku,Nautika,D-III,12
Universitas Islam Negeri Kiai Haji Achmad Siddiq Jember,Komunikasi Dan Penyiaran Islam,S1,PTAN
Universitas Islam Negeri Imam Bonjol Padang,Ilmu Hadis,S1,PTAN
Universitas Tanjungpura,Pendidikan Matematika,S1,PTN
Universitas Halu Oleo,Agronomi,S2,PTN
Sekolah Tinggi Ilmu Ekonomi Mandala,Manajemen,S2,07
Universitas Kristen Krida Wacana,Manajemen,S1,03
Politeknik Negeri Padang,Bisnis Digital,D-IV,PTN
Universitas Horizon Indonesia,Sistem Informasi Akuntansi,D-III,04
Universitas Horizon Indonesia,Informatika,S1,04
Universitas Horizon Indonesia,Sistem Informasi,S1,04
Universitas Horizon Indonesia,Manajemen,S1,04
Universitas Horizon Indonesia,Akuntansi,S1,04
Sekolah Tinggi Ilmu Tarbiyah Al-Ishlah Bondowoso,Pendidikan Agama Islam,S1,PTAS
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Melawi,Pendidikan Guru Pendidikan Anak Usia Dini,S1,11
Universitas Persatuan Guru 1945 NTT,Pendidikan Bahasa Dan Sastra Indonesia,S1,15
Institut Agama Islam Nahdlatul Ulama Kebumen,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Universitas Tama Jagakarsa,Pendidikan Bahasa Inggris,S1,03
Sekolah Tinggi Ilmu Administrasi Setih Setio,Ilmu Administrasi Negara,S1,10
STISIPOL Pahlawan 12,Ilmu Administrasi Negara,S1,02
Politeknik Sahid,Perhotelan,D-III,03
"AKADEMI KEBIDANAN KARTIKA MITRA HUSADA, MEDAN",KEBIDANAN,D-III,01
"POLITEKNIK INDONUSA SURAKARTA, SURAKARTA",MANAJEMEN INFORMASI KESEHATAN,D-IV,06
"SEKOLAH TINGGI ILMU KESEHATAN AL-SU'AIBAH, PALEMBANG",KEBIDANAN,D-III,02
"UNIVERSITAS NEGERI YOGYAKARTA, YOGYAKARTA",PENGOBATAN TRADISIONAL,D-IV,PTN
Universitas Indonesia,Matematika,S1,PTN
Universitas Indonesia,Fisika,S1,PTN
Universitas Indonesia,Geografi,S1,PTN
Universitas Indonesia,Biologi,S1,PTN
"AKADEMI KEBIDANAN AR-RAHMA, PASURUAN",KEBIDANAN,D-III,07
"AKADEMI KEBIDANAN FARAMA MULYA, JAKARTA",KEBIDANAN,D-III,03
"INSTITUT KESEHATAN MITRA BUNDA, BATAM",GIZI,S1,17
"POLITEKNIK AKBARA, SURAKARTA",TEKNOLOGI BANK DARAH,D-III,06
"SEKOLAH TINGGI ILMU FARMASI PELITA MAS PALU, PALU",FARMASI,S1,16
"SEKOLAH TINGGI ILMU KESEHATAN CIREBON, CIREBON",KEBIDANAN,D-III,04
"SEKOLAH TINGGI ILMU KESEHATAN MAHARANI, MALANG",KEPERAWATAN,S1,07
"SEKOLAH TINGGI ILMU KESEHATAN MAHARANI, MALANG",NERS,Profesi,07
"SEKOLAH TINGGI ILMU KESEHATAN MARANATHA KUPANG, KUPANG",KEBIDANAN,D-III,15
"SEKOLAH TINGGI ILMU KESEHATAN MARANATHA KUPANG, KUPANG",KEPERAWATAN,S1,15
"SEKOLAH TINGGI ILMU KESEHATAN MARANATHA KUPANG, KUPANG",NERS,Profesi,15
"SEKOLAH TINGGI ILMU KESEHATAN MAYAPADA, JAKARTA",KEPERAWATAN,D-III,03
"SEKOLAH TINGGI ILMU KESEHATAN YPAK PADANG, PADANG",KEPERAWATAN,S1,10
"SEKOLAH TINGGI ILMU KESEHATAN YPAK PADANG, PADANG",NERS,Profesi,10
"UNIVERSITAS JENDERAL ACHMAD YANI, CIMAHI",TEKNOLOGI LABORATORIUM MEDIS,D-III,04
"UNIVERSITAS KADER BANGSA, PALEMBANG",REFRAKSI OPTISI,D-III,02
"UNIVERSITAS MUHAMMADIYAH MANADO, MANADO",BIDAN,Profesi,16
"UNIVERSITAS MUHAMMADIYAH MANADO, MANADO",KEBIDANAN,S1,16
"UNIVERSITAS PRIMA INDONESIA, MEDAN",KESEHATAN MASYARAKAT,S2,01
"UNIVERSITAS SEBELAS MARET, SURAKARTA",OBSTETRI DAN GINEKOLOGI,Spesialis,PTN
"UNIVERSITAS SUMATERA UTARA, MEDAN",KONSERVASI GIGI,Spesialis,PTN
Universitas Tanjungpura,Teknik Elektro,S3,PTN
"AKADEMI KEBIDANAN MATORKIS, PADANGSIDIMPUAN",KEBIDANAN,D-III,01
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI PERTIWI LUWU RAYA, PALOPO",KEPERAWATAN,S1,09
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI PERTIWI LUWU RAYA, PALOPO",NERS,Profesi,09
"SEKOLAH TINGGI ILMU KESEHATAN PANCA BHAKTI, BANDAR LAMPUNG",ADMINISTRASI RUMAH SAKIT,S1,02
"SEKOLAH TINGGI ILMU KESEHATAN SALEWANGAN MAROS, MAROS",GIZI,S1,09
"UNIVERSITAS CENDEKIA ABDITAMA, TANGERANG",NERS,Profesi,04
"UNIVERSITAS CENDEKIA ABDITAMA, TANGERANG",KEPERAWATAN,S1,04
Institut Keuangan-Perbankan Dan Informatika Asia Perbanas,Akuntansi,S2,03
Universitas Halmahera,Akuntansi,S1,12
Universitas Muhammadiyah Aceh,Bisnis Digital,S1,13
Universitas Muhammadiyah Sumatera Utara,Ekonomi Pembangunan,S1,01
Universitas Aisyah Pringsewu,Akuntansi,S1,02
Sekolah Tinggi Ilmu Ekonomi Widya Darma Kotamobagu,Akuntansi,S1,16
Sekolah Tinggi Ilmu Ekonomi Syari'ah Alifa Pringsewu Lampung,Perbankan Syariah,S1,PTAS
Sekolah Tinggi Ilmu Ekonomi Syari'ah Alifa Pringsewu Lampung,Manajemen Bisnis Syariah,S1,PTAS
Sekolah Tinggi Ilmu Ekonomi Syariah (STIES) Sayaga Saniskara Nusantara,Ekonomi Syariah,S1,PTAS
Universitas Islam Negeri Maulana Malik Ibrahim,Akuntansi,S1,PTAN
Institut Teknologi Dan Bisnis Ahmad Dahlan Lamongan,Bisnis Digital,S1,07
Universitas Sumatera Utara,Kewirausahaan,S1,PTN
Universitas Islam Riau,Manajemen,S1,17
Universitas Logistik Dan Bisnis Internasional,Manajemen Pemasaran,D-III,04
Politeknik Sendawar,Administrasi Bisnis,D-III,11
Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia Makassar,Administrasi Bisnis,D-III,09
Institut Bisnis Dan Informatika (IBI) Kosgoro 1957,Manajemen,S1,03
Universitas Samudra,Ekonomi Pembangunan,S1,PTN
Universitas Syiah Kuala,Ekonomi Pembangunan,S1,PTN
Sekolah Tinggi Ilmu Ekonomi Jaya Negara Tamansiswa,Manajemen,S1,07
Universitas Sains Alqur An,Perbankan Syariah,S1,06
Universitas 17 Agustus 1945 Banyuwangi,Manajemen,S1,07
Sekolah Tinggi Ekonomi Syariah Al-Falah Panceng Gresik Jawa Timur,Ekonomi Syariah,S1,PTAS
Universitas Islam Negeri Imam Bonjol Padang,Ekonomi Syariah,S1,PTAN
Universitas Universal,Akuntansi,S1,17
Universitas Islam Negeri Sunan Kalijaga,Ekonomi Syariah,S2,PTAN
Sekolah Tinggi Ilmu Ekonomi Syariah Imam Asy Syafii Pekanbaru Riau,Ekonomi Syariah,S1,PTAS
Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia,Manajemen Keuangan Perbankan (Kampus Kota Tasikmalaya),D-III,04
Universitas Pat Petulai,Akuntansi,S1,02
Universitas Komputer Indonesia,Manajemen Pemasaran,D-III,04
Politeknik Stibisnis,Manajemen,D-III,06
Politeknik Negeri Bandung,Akuntansi,D-III,PTN
Institut Administrasi Dan Kesehatan Setih Setio Muara Bungo,Administrasi Bisnis,D-III,10
Politeknik Negeri Semarang,Keuangan Dan Perbankan,D-III,PTN
Universitas Singaperbangsa Karawang,Manajemen,S1,PTN
Universitas Pekalongan,Akuntansi,S1,06
Universitas Sintuwu Maroso Poso,Manajemen,S1,16
Sekolah Tinggi Teknologi Kedirgantaraan,Rekayasa Mesin,S1,05
Universitas Airlangga,Ilmu Humaniora,S3,PTN
Institut Teknologi Petroleum Balongan,Rekayasa Keselamatan Kebakaran,S1,04
Universitas Al-azhar Indonesia,Linguistik Terapan,S2,03
Universitas Ibn Khaldun,Hukum Bisnis,S2,04
Universitas Islam Negeri Walisongo Semarang,Psikologi,S1,PTAN
"STAI Umar Bin Khattab Di Ujunggading, Pasaman Barat, Sumatera Barat",Hukum Keluarga (Ahwal Syakhshiyah),S1,PTAS
Universitas Indonesia,Administrasi Keuangan Dan Perbankan,D-III,PTN
Sekolah Tinggi Ilmu Komunikasi Dan Sekretari Tarakanita,Sekretari,D-III,03
Universitas Nusa Nipa,Psikologi,S1,15
Universitas Indonesia,Psikologi,S1,PTN
Universitas Diponegoro,Hubungan Internasional,S1,PTN
Universitas Jambi,Kepelatihan Olahraga,S1,PTN
Sekolah Tinggi Ilmu Al-Qur'an Darussalam Lhokseumawe Aceh,Ilmu Al-Qur'an Dan Tafsir,S1,PTAS
Akademi Manajemen Putra Jaya,Manajemen Perdagangan,D-III,05
Universitas Islam Negeri Sultan Aji Muhammad Idris Samarinda,Ekonomi Syariah,S2,PTAN
Sekolah Tinggi Pendidikan Holistik Berbasis Karakter,Pendidikan Guru Sekolah Dasar,S1,04
Institut Pendidikan Nusantara Global,Pendidikan Guru Pendidikan Anak Usia Dini,S1,08
Institut Agama Islam Uluwiyah Mojokerto,Hukum Keluarga Islam (Ahwal Syakhsiyyah),S1,PTAS
Universitas Islam Zainul Hasan Genggong Probolinggo,Ilmu Tasawuf,S1,PTAS
Akademi Komunitas Presiden,Administrasi Perkantoran,D-I,04
Universitas Bumigora,Hukum,S1,08
Universitas Katolik Indonesia Santu Paulus Ruteng,Agronomi,S1,15
Akademi Sekretari Dan Manajemen Don Bosco,Sekretari,D-III,03
Politeknik Bhakti Kartini,Manajemen Logistik,D-III,04
Universitas PGRI Wiranegara,Ilmu Komputer,S1,07
Sekolah Tinggi Ilmu Al-Qur'an Darussalam Lhokseumawe Aceh,Ilmu Hadis,S1,PTAS
Institut Pertanian Bogor,Ilmu Pengelolaan Hutan,S2,PTN
Sekolah Tinggi Teologi Katharos Indonesia Bekasi,Pendidikan Agama Kristen,S2,PTAS
Institut Agama Kristen Negeri Manado,Misiologi Dan Komunikasi Kristen,S1,PTAN
Institut Teknologi Dan Bisnis Diniyyah Lampung,Kewirausahaan,S1,02
Universitas Islam Negeri Syarif Hidayatullah,Perbandingan Mazhab,S1,PTAN
Sekolah Tinggi Teologi Kristus Alfa Omega,Pendidikan Agama Kristen,S2,PTAS
STAIN Tengku Dirundeng Meulaboh,Tadris Bahasa Inggris,S1,PTAN
STIT Al-Amin Indramayu,Manajemen Pendidikan Islam,S1,PTAS
Sekolah Tinggi Ilmu Ekonomi Sultan Agung,Ilmu Manajemen,S2,01
Universitas Islam Negeri Maulana Malik Ibrahim,Hukum Keluarga Islam (Ahwal Syakhshiyyah) - S3,S3,PTAN
Universitas Kebangsaan Republik Indonesia,Ilmu Komunikasi,S1,04
Institut Teknologi Rokan Hilir,Agroteknologi,S1,17
Universitas Islam Negeri Sunan Kalijaga,Arsitektur,S1,PTAN
Sekolah Tinggi Agama Kristen Reformed Remnant Internasional Minahasa Provinsi Sulawesi Utara,Teologi,S1,PTAS
Universitas Pasundan,Ilmu Administrasi Bisnis,S1,04
Universitas Serasan,Ilmu Lingkungan,S1,02
Universitas Sultan Ageng Tirtayasa,Ilmu Komunikasi,S1,PTN
Universitas Bina Mandiri Gorontalo,Pendidikan Khusus,S1,16
Universitas Islam Negeri Maulana Malik Ibrahim,Ilmu Hadis,S1,PTAN
Politeknik Amamapare,Teknologi Rekayasa Otomotif,D-IV,14
Universitas Riau,Arsitektur,S1,PTN
Universitas Islam Raden Rahmat,Agroteknologi,S1,07
Universitas Riau,Ilmu Kelautan,S3,PTN
Politeknik Negeri Bandung,Proses Manufaktur,D-IV,PTN
Universitas Musamus Merauke,Agrobisnis,S1,PTN
Sekolah Tinggi Ilmu Ekonomi Mandala,Manajemen,S1,07
Institut Cokroaminoto Pinrang,Pendidikan Guru Sekolah Dasar,S1,09
Institut Teknologi Petroleum Balongan,Teknik Lingkungan,S1,04
Universitas Esa Unggul,Rekayasa Sipil,S1,03
Universitas Sultan Ageng Tirtayasa,Pendidikan Vokasi Keteknikan,S2,PTN
Universitas Langlang Buana,Manajemen,S1,04
Universitas Airlangga,Akuntansi,D-III,PTN
Universitas Bunda Mulia,PJJ Akuntansi,S1,03
Universitas Bunda Mulia,PJJ Manajemen,S1,03
Universitas Pembangunan Nasional Veteran Yogyakarta,Akuntansi,S1,PTN
Universitas Katolik Indonesia Atma Jaya,Ekonomi Terapan,S2,03
Universitas Tanjungpura,Ilmu Ekonomi,S3,PTN
Universitas Tanjungpura,Administrasi Perkantoran,D-III,PTN
Universitas Hasanuddin,Geofisika,S1,PTN
Universitas Pendidikan Mandalika,Arsitektur,D-III,08
Universitas Pendidikan Mandalika,Seni Rupa,D-III,08
Universitas Indonesia,Perencanaan Dan Kebijakan Publik,S2,PTN
Universitas Lambung Mangkurat,Agribisnis,S1,PTN
"AKADEMI KEPERAWATAN PATRIA HUSADA SURAKARTA, SURAKARTA",KEPERAWATAN,D-III,06
"UNIVERSITAS GADJAH MADA, YOGYAKARTA",BEDAH MULUT DAN MAKSILOFASIAL,Spesialis,PTN
Universitas Swadaya Gunung Jati,Pendidikan Profesi Guru,Profesi,04
Universitas Swadaya Gunung Jati,Teknik Elektro,S1,04
Universitas Swadaya Gunung Jati,Agronomi,S2,04
Universitas Swadaya Gunung Jati,Ilmu Komunikasi,S1,04
Universitas Hasyim Asy'ari Tebuireng Jombang,Hukum Ekonomi Syariah (Muamalah),S1,07
Universitas Abulyatama,Pemanfaatan Sumber Daya Perikanan,S1,13
Universitas Swadaya Gunung Jati,Pendidikan Bahasa Indonesia,S2,04
Universitas Gadjah Mada,Ilmu Dan Industri Peternakan,S1,PTN
Institut Islam Mamba'ul Ulum Jambi,Ekonomi Syariah,S1,PTAS
Institut Islam Mamba'ul Ulum Jambi,Hukum Ekonomi Syariah (Muamalah),S1,PTAS
Institut Islam Mamba'ul Ulum Jambi,Manajemen Pendidikan Islam,S1,PTAS
Institut Islam Mamba'ul Ulum Jambi,Pendidikan Agama Islam,S1,PTAS
Institut Islam Mamba'ul Ulum Jambi,Pendidikan Bahasa Arab,S1,PTAS
Institut Islam Mamba'ul Ulum Jambi,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Institut Islam Mamba'ul Ulum Jambi,Pendidikan Islam Anak Usia Dini,S1,PTAS
"UNIVERSITAS AIRLANGGA, SURABAYA",ILMU PENYAKIT MULUT,Spesialis,PTN
Universitas Islam Sumatera Barat,Sistem Informasi,S1,10
Universitas Islam Sumatera Barat,Teknik Informatika,S1,10
"UNIVERSITAS SIGUNTANG MAHAPUTRA, PALEMBANG",KESEHATAN MASYARAKAT,S1,02
"UNIVERSITAS SILIWANGI, TASIKMALAYA",GIZI,S1,PTN
"UNIVERSITAS MUHAMMADIYAH PALU, PALU",KESEHATAN MASYARAKAT,S2,16
Universitas Halmahera,Fisika,S1,12
Universitas Pendidikan Ganesha,Pendidikan Bahasa,S3,PTN
Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Tadris Biologi,S1,PTAN
Universitas Islam Negeri Raden Fatah Palembang,Pendidikan Fisika,S1,PTAN
Universitas Mahasaraswati Denpasar,Pendidikan Bahasa Inggris,S1,08
Universitas Islam Negeri Salatiga,Bimbingan Dan Konseling Pendidikan Islam,S1,PTAN
Universitas Sanata Dharma,Pendidikan Kimia,S1,05
Universitas Muhammadiyah Metro,Bimbingan Dan Konseling,S1,02
Sekolah Tinggi Teologi Kadesi Bogor,Pendidikan Agama Kristen,S1,PTAS
Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Tadris Bahasa Inggris,S2,PTAN
Universitas Nusantara PGRI Kediri,Pendidikan Ekonomi,S2,07
Universitas Sriwijaya,Pendidikan Fisika,S2,PTN
Sekolah Tinggi Agama Islam Ma'arif Sampang Madura,Manajemen Pendidikan Islam,S1,PTAS
Institut Agama Islam Negeri Madura,Pendidikan Agama Islam,S1,PTAN
Sekolah Tinggi Agama Islam Siliwangi Bandung,Pendidikan Agama Islam,S1,PTAS
Universitas Trunojoyo,Pendidikan Bahasa Dan Sastra Indonesia,S1,PTN
Institut Agama Islam Syekh Maulana Qori Bangko,Pendidikan Agama Islam,S1,PTAS
Universitas Mulawarman,Pendidikan Biologi,S1,PTN
Universitas Muhammadiyah Maluku,Pendidikan Matematika,S1,12
Universitas Trunojoyo,Pendidikan Guru Pendidikan Anak Usia Dini,S1,PTN
Universitas Achmad Yani Banjarmasin,Bimbingan Dan Konseling,S1,11
Sekolah Tinggi Agama Islam Haji Agus Salim Cikarang Bekasi,Pendidikan Agama Islam,S1,PTAS
Sekolah Tinggi Agama Hindu Negeri Mpu Kuturan Singaraja Bali,Pendidikan Agama Hindu,S1,PTAN
Universitas Negeri Surabaya,Pendidikan Bahasa Dan Sastra,S3,PTN
Universitas Katolik Indonesia Santu Paulus Ruteng,Pendidikan Bahasa Inggris,S1,15
Universitas Jember,Pendidikan Guru Pendidikan Anak Usia Dini,S1,PTN
Institut Agama Islam Pangeran Diponegoro Nganjuk,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Sekolah Tinggi Agama Islam Siliwangi Bandung,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Universitas Achmad Yani Banjarmasin,Administrasi Pendidikan,S1,11
Universitas PGRI Mahadewa Indonesia,Pendidikan Bahasa Indonesia,S2,08
Sekolah Tinggi Ilmu Tarbiyah Rakeyan Santang Karawang,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Universitas Klabat,Pendidikan Luar Sekolah,S1,16
Institut Agama Islam Hamzanwadi Pancor Lombok Timur,Pendidikan Islam Anak Usia Dini,S1,PTAS
Universitas Negeri Surabaya,Pendidikan Seni Budaya,S2,PTN
Sekolah Tinggi Ilmu Tarbiyah Ibnu Khaldun,Pendidikan Agama Islam,S1,PTAS
Sekolah Tinggi Agama Islam Binamadani Tangerang,Pendidikan Agama Islam,S1,PTAS
Sekolah Tinggi Agama Islam Sukabumi,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Institut Kariman Wirayudha Sumenep Madura,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Institut Agama Islam Negeri Kerinci,Bimbingan Dan Konseling Pendidikan Islam,S1,PTAN
Sekolah Tinggi Ilmu Tarbiyah Al-Ittihadiyah Labuhan Batu Utara,Pendidikan Islam Anak Usia Dini,S1,PTAS
Sekolah Tinggi Teologi Oikumene Injili Sidikalang,Pendidikan Agama Kristen,S2,PTAS
Sekolah Tinggi Teologi Erikson Tritt,Pendidikan Agama Kristen,S2,PTAS
Universitas Tamansiswa,Pendidikan Matematika,S1,10
Institut Agama Islam Qomarul Huda Bagu Paringgata Lombok Tengah,Pendidikan Bahasa Arab,S1,PTAS
Universitas Sriwijaya,Pendidikan Sejarah,S1,PTN
Institut Agama Islam Syarifuddin Wonorejo Lumajang,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Tadris Matematika,S1,PTAN
Sekolah Tinggi Ilmu Tarbiyah PTI Al-Hilal Sigli Kab. Pidie,Pendidikan Bahasa Arab,S1,PTAS
Universitas Islam Makassar,Pendidikan Agama Islam,S1,09
Universitas Negeri Yogyakarta,Pendidikan Dasar,S3,PTN
Universitas Hamzanwadi,Pendidikan Geografi,S1,08
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Agama Islam,S1,PTAN
Universitas Islam Negeri Ar-Raniry Banda Aceh,Pendidikan Biologi,S1,PTAN
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MALANG, MALANG",GIZI,D-III,PTKL
Universitas Muhammadiyah Jakarta,Ilmu Hukum,S1,03
Universitas Pembangunan Nasional Veteran Jawa Timur,Ilmu Komunikasi,S2,PTN
Universitas Dwijendra,Arsitektur,S1,08
Universitas Islam Negeri Fatmawati Sukarno Bengkulu,Ahwal Al-syakhshiyyah,S1,PTAN
Universitas Sarjanawiyata Tamansiswa,Agroteknologi,S1,05
Universitas Muhammadiyah Pekajangan Pekalongan,Teknik Mesin,S1,06
Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia,Bisnis Digital,D-IV,04
Universitas Medan Area,Ilmu Hukum,S2,01
Politeknik Negeri Ujung Pandang,Teknik Konversi Energi,D-III,PTN
Universitas Muhammadiyah Purworejo,Hukum,S1,06
Universitas Muhammadiyah Bengkulu,Agribisnis,S1,02
Universitas Ahmad Dahlan,Psikologi,S1,05
Universitas Padjadjaran,Psikologi,S1,PTN
Universitas Tanjungpura,Akuntansi,S2,PTN
Universitas Tanjungpura,Agribisnis,S1,PTN
Universitas 17 Agustus 1945 Semarang,Hukum,S3,06
Universitas Muhammadiyah Bengkulu,Komunikasi Dan Penyiaran Islam,S1,02
Universitas Bandar Lampung,Administrasi Publik,S1,02
Universitas Islam Riau,Ilmu Administrasi,S2,17
Universitas Sebelas Maret,Bisnis Digital,S1,PTN
Politeknik Gusdurian,Bisnis Digital,D-IV,06
Universitas Bunda Mulia,Desain Interaktif,S1,03
Universitas Sumatera Utara,Bahasa Inggris,D-III,PTN
Universitas Langlang Buana,Ilmu Pemerintahan,S2,04
Universitas Ciputra Surabaya,Arsitektur,S1,07
Universitas Prof Dr Moestopo (Beragama),Ilmu Komunikasi,S1,03
Sekolah Tinggi Ilmu Hukum Zainul Hasan,Ilmu Hukum,S1,07
Institut Teknologi Dan Bisnis Indobaru Nasional,Bisnis Digital,S1,17
"STAI Bumi Silampari Lubuk Linggau, Sumatera Selatan",Pendidikan Islam Anak Usia DIni,S1,PTAS
Sekolah Tinggi Agama Islam Negeri Majene,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S2,PTAN
Institut Agama Islam Miftahul Ulum Pamekasan,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAS
Sekolah Tinggi Teologi Reformed Injili Lumbantor,Teologi (Akademik),S1,PTAS
"STAI DDI Pinrang, Sulawesi Selatan",Ekonomi Syariah,S1,PTAS
Institut Agama Islam Sahid,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Universitas Pattimura,Teknologi Hasil Perikanan,S1,PTN
Institut Agama Islam Darussalam Martapura Kalimantan Selatan,Ekonomi Syariah,S1,PTAS
Universitas Singaperbangsa Karawang,Teknik Lingkungan,S1,PTN
Universitas Pendidikan Muhammadiyah Sorong,Pendidikan Guru Pendidikan Anak Usia Dini,S1,14
"STAI YPIQ Baubau, Sulawesi Tenggara",Pendidikan Islam Anak Usia Dini,S1,PTAS
"STAI Darul Arafah (STAIDA) Lau Bakeri Deli Serdang, Sumatera Utara",Pendidikan Islam Anak Usia Dini,S1,PTAS
Universitas Logistik Dan Bisnis Internasional,Logistik Niaga-El,D-IV,04
Politeknik Lamandau,Teknologi Rekayasa Komputer,D-IV,11
Institut Teknologi Dan Bisnis Kalla,Sistem Informasi,S1,09
Universitas Islam Negeri Sunan Kalijaga,Hukum Ekonomi Syariah (Muamalah),S1,PTAN
Universitas Islam Negeri Sunan Kalijaga,Hukum Tata Negara,S1,PTAN
Politeknik Seruyan,Teknologi Rekayasa Konstruksi Jalan Dan Jembatan,D-IV,11
